1, 20.493
2, 35.681
3, 51.516
4, 65.954
5, 78.431
6, 88.163
7, 95.652
8, 101.72
9, 111.57
10, 120.41
11, 130.24
12, 138.31
13, 146.87
14, 156.16
15, 164.28
16, 172.94
17, 181.87
18, 190.31
19, 199.05
20, 207.45
21, 215.37
22, 223.82
23, 232.26
24, 239.49
25, 248.57
26, 256.99
27, 266.35
28, 274.76
29, 283.01
30, 292.32
31, 301.56
32, 308.6
33, 317.83
34, 331.02
35, 344.79
36, 357.23
37, 368.2
38, 378.02
39, 388.12
40, 396.92
41, 404.17
42, 414.02
43, 422.41
44, 430.19
45, 440.8
46, 448.03
47, 456.94
48, 465.05
49, 474.67
50, 482.84
51, 491.86
52, 500.01
53, 509.05
54, 517.91
55, 526.24
56, 534.95
57, 542.3
58, 552
59, 560
60, 569.74
61, 577.87
62, 584.97
